v,u,w,p
81.8429,-33.6971,6.26564,-7583.17
81.8245,-33.6851,6.21569,-7579.48
81.806,-33.6733,6.16519,-7578.56
81.7876,-33.6612,6.11584,-7576.18
81.7692,-33.649,6.07902,-7573.78
81.7507,-33.6363,6.06602,-7571.66
81.732,-33.6234,6.05566,-7569.21
81.713,-33.6106,6.05052,-7567.16
81.6937,-33.5991,6.05606,-7567.52
81.6744,-33.588,6.06233,-7565.19
81.6551,-33.5763,6.07056,-7562.48
81.6358,-33.5645,6.07918,-7560.22
81.6161,-33.5519,6.08854,-7559.01
81.5964,-33.5388,6.09862,-7557.49
81.5769,-33.525,6.10903,-7556.08
81.5577,-33.5108,6.12037,-7554.18
81.5389,-33.4957,6.13212,-7552.11
81.5204,-33.4798,6.14441,-7551.62
81.5023,-33.464,6.32587,-7550.12
81.4846,-33.4493,6.50241,-7548.68
81.4674,-33.4352,6.79377,-7548.39
81.4507,-33.4224,7.04635,-7546.46
81.4346,-33.4101,7.27513,-7544.58
81.4189,-33.3983,7.47169,-7542.14
81.4034,-33.3858,7.66819,-7539.6
81.388,-33.374,7.99094,-7537.62
81.3726,-33.3638,8.28227,-7535.71
81.3571,-33.356,8.53079,-7534.33
81.3416,-33.3576,8.75726,-7531.94
81.3262,-33.3583,9.02716,-7529.39
81.3107,-33.3596,9.37445,-7526.54
81.2949,-33.3594,9.66489,-7524.29
81.2791,-33.3598,9.91801,-7523.01
81.2641,-33.3603,10.1849,-7522.01
81.2491,-33.363,10.5495,-7520.34
81.2315,-33.3657,10.8427,-7519.5
81.2097,-33.3675,11.0585,-7517.87
81.1837,-33.3699,11.3758,-7515.78
81.1546,-33.3731,11.6905,-7514.2
81.124,-33.3769,11.8871,-7513.28
81.0936,-33.381,12.0692,-7512.85
81.0651,-33.3858,12.337,-7511.64
81.0396,-33.3915,12.4614,-7510.11
81.0176,-33.3978,12.499,-7507.72
80.9993,-33.4028,12.642,-7505.41
80.9846,-33.4071,12.6301,-7503.43
80.9734,-33.4088,12.502,-7501.02
80.9653,-33.4102,12.4951,-7498.11
80.9596,-33.4111,12.3349,-7496.3
80.956,-33.4129,12.0474,-7496.08
80.9544,-33.4135,11.8363,-7496.02
80.9544,-33.4133,11.55,-7495.04
80.9557,-33.4132,11.1622,-7493.32
80.9578,-33.4142,10.7063,-7491.71
80.9604,-33.4153,10.325,-7493.06
80.9634,-33.4164,9.8712,-7493.09
80.9671,-33.4179,9.36936,-7492.09
80.9714,-33.4199,8.84033,-7490.37
80.976,-33.421,8.3002,-7487.78
80.9808,-33.42,7.76896,-7485.56
80.9855,-33.4184,7.25428,-7483.49
80.9899,-33.4165,6.93151,-7482.34
80.994,-33.4152,6.95442,-7482.62
80.9982,-33.416,6.97713,-7482.44
81.0024,-33.4188,7.00043,-7482.06
81.007,-33.4222,7.02395,-7481.26
81.0119,-33.4244,7.04728,-7479.1
81.0169,-33.4247,7.0715,-7476.14
81.0217,-33.4238,7.0949,-7473.28
81.0262,-33.423,7.11868,-7471.91
81.0305,-33.4222,7.14233,-7472.19
81.0347,-33.4223,7.16524,-7472.82
81.0391,-33.4234,7.18823,-7472.99
81.0439,-33.4261,7.21139,-7471.31
81.0489,-33.426,7.23345,-7470.31
81.054,-33.4231,7.25587,-7468.57
81.059,-33.4194,7.27878,-7466.99
81.0637,-33.4192,7.30094,-7466.68
81.0688,-33.4292,7.32363,-7469.42
81.0747,-33.44,7.34454,-7470.49
81.0822,-33.4518,7.36635,-7468.74
81.0912,-33.4623,7.38803,-7465.33
81.1013,-33.4704,7.40888,-7462.67
81.112,-33.4762,7.43095,-7461.68
81.1234,-33.4826,7.45847,-7460.82
81.1356,-33.4914,7.48643,-7461.61
81.149,-33.5018,7.51403,-7461.03
81.1636,-33.5114,7.54067,-7459.22
81.1788,-33.5214,7.56762,-7456.61
81.1944,-33.5301,7.59394,-7455.7
81.2097,-33.5393,7.62019,-7456.29
81.225,-33.5522,7.64527,-7456.15
81.2407,-33.5706,7.66937,-7457.74
81.2571,-33.5898,7.69318,-7456.61
81.274,-33.6082,7.71647,-7452.28
81.2912,-33.6274,7.73909,-7447.52
81.3084,-33.6466,7.76191,-7446.08
81.3257,-33.6628,7.78291,-7444.28
81.3431,-33.6767,7.80468,-7441.31
81.3603,-33.6899,7.82662,-7438.02
81.3768,-33.7058,7.84868,-7440.14
81.3931,-33.7325,7.87127,-7446.17
81.4112,-33.7685,7.89316,-7452.44
81.4326,-33.8034,7.91497,-7450.11
81.4569,-33.8329,7.93771,-7438.96
81.4822,-33.8571,7.96067,-7429.14
81.5068,-33.8786,7.98356,-7428.13
81.5308,-33.8999,8.00545,-7434.09
81.5558,-33.9275,8.02664,-7435.27
81.5829,-33.9597,8.04709,-7431.88
81.6119,-33.9918,8.06862,-7429.2
81.6416,-34.0239,8.08957,-7425.67
81.6721,-34.0568,8.10887,-7424.53
81.7038,-34.0839,8.12934,-7423.31
81.7363,-34.105,8.14884,-7416.14
81.7685,-34.1271,8.16861,-7410.74
81.7996,-34.1514,8.18687,-7413.82
81.8302,-34.1745,8.20467,-7422.1
81.861,-34.2011,8.22247,-7423.12
81.8929,-34.2364,8.24058,-7422.76
81.9256,-34.2727,8.2578,-7425.17
81.9588,-34.3032,8.27391,-7425.6
81.992,-34.3307,8.28928,-7424.16
82.0246,-34.3562,8.3022,-7423.58
82.056,-34.3781,8.31632,-7426.91
82.0859,-34.4074,8.33543,-7435.18
82.1152,-34.4432,8.35847,-7444.64
82.1452,-34.4822,8.3791,-7451.6
82.1763,-34.5261,8.40008,-7453.6
82.2082,-34.5715,8.41962,-7454.52
82.2407,-34.6091,8.43915,-7456.73
82.2728,-34.6443,8.45502,-7456.31
82.304,-34.6756,8.47081,-7459.74
82.3342,-34.7145,8.4868,-7466.41
82.3643,-34.7569,8.50037,-7476.77
82.3956,-34.8065,8.51321,-7485.31
82.4285,-34.8566,8.5257,-7485.23
82.4635,-34.9086,8.53685,-7489.52
82.4998,-34.9592,8.55003,-7488.8
82.5377,-35.0036,8.56277,-7490.29
82.5765,-35.0424,8.57407,-7489.97
82.6155,-35.0786,8.58639,-7489.02
82.6539,-35.118,8.59805,-7495.22
82.6921,-35.1614,8.6104,-7504.28
82.7308,-35.2098,8.62179,-7511.92
82.7708,-35.2649,8.63153,-7517.13
82.812,-35.3222,8.64071,-7517.9
82.8539,-35.3789,8.64994,-7517.59
82.8956,-35.4299,8.65679,-7516.71
82.9361,-35.4775,8.66213,-7516.31
82.975,-35.5265,8.6668,-7517.27
83.0125,-35.5781,8.66845,-7521.52
83.0489,-35.6334,8.66903,-7527.39
83.0851,-35.6929,8.66777,-7531.23
83.1218,-35.7552,8.66557,-7533.46
83.1594,-35.8185,8.66342,-7534.57
83.1977,-35.8778,8.65926,-7535.01
83.2368,-35.9347,8.65703,-7534.93
83.2766,-35.9888,8.65431,-7534.53
83.3168,-36.0428,8.65234,-7538.14
83.358,-36.0968,8.65072,-7543.8
83.401,-36.1525,8.65003,-7548.39
83.4464,-36.2097,8.64929,-7551.75
83.4946,-36.2676,8.64837,-7555.42
83.5458,-36.3225,8.64611,-7558.15
83.5994,-36.3734,8.64297,-7558.17
83.6552,-36.4211,8.63909,-7560.18
83.7125,-36.4649,8.63352,-7562.79
83.7709,-36.5094,8.63197,-7566.72
83.8303,-36.5551,8.6277,-7572.52
83.8907,-36.6028,8.62208,-7577.58
83.9523,-36.6496,8.61619,-7581.01
84.0143,-36.6943,8.61022,-7581.69
84.0759,-36.7349,8.60519,-7583.5
84.1361,-36.7707,8.60007,-7586.6
84.1942,-36.8078,8.5975,-7592.6
84.2504,-36.8479,8.59558,-7599.99
84.3056,-36.8925,8.59412,-7609.02
84.3602,-36.9373,8.59428,-7613.46
84.4137,-36.9811,8.59446,-7615.74
84.4651,-37.0217,8.59542,-7617.09
84.5136,-37.0586,8.59775,-7621.07
84.5588,-37.0929,8.59992,-7625.44
84.6011,-37.1282,8.60254,-7631.35
84.6411,-37.1675,8.60425,-7636.33
84.6824,-37.2091,8.60652,-7642.39
84.7296,-37.2513,8.60965,-7645.81
84.784,-37.2927,8.61141,-7647.67
84.8448,-37.3341,8.61427,-7649.43
84.91,-37.371,8.61546,-7651.37
84.9771,-37.4059,8.61709,-7653.9
85.0443,-37.4406,8.61678,-7655.81
85.11,-37.4749,8.61488,-7659.16
85.1735,-37.5074,8.61199,-7662.94
85.2344,-37.5389,8.60795,-7664.39
85.2926,-37.5684,8.60449,-7666.18
85.3479,-37.5962,8.60039,-7667.26
85.4004,-37.6232,8.59532,-7669.31
85.4505,-37.6503,8.5917,-7670.23
85.4985,-37.6752,8.58678,-7670.72
85.5446,-37.699,8.5831,-7670.1
85.5887,-37.7185,8.57977,-7668.81
85.6311,-37.7375,8.57655,-7668.53
85.6716,-37.758,8.5723,-7671.94
85.7108,-37.7824,8.56784,-7675.8
85.7496,-37.8095,8.56319,-7679.1
85.7883,-37.8399,8.55702,-7680.26
85.8273,-37.8693,8.5507,-7680.28
85.8662,-37.8953,8.54422,-7679.19
85.9048,-37.9193,8.53675,-7679.62
85.9431,-37.9438,8.52885,-7681
85.9814,-37.968,8.51991,-7684.28
86.0203,-37.9939,8.51053,-7688.22
86.0603,-38.0202,8.49971,-7688.55
86.1015,-38.0477,8.48849,-7690.2
86.1441,-38.073,8.477,-7691.99
86.1881,-38.097,8.46535,-7692.59
86.2337,-38.1197,8.45263,-7692.74
86.2806,-38.1417,8.43995,-7693.64
86.3288,-38.1628,8.42706,-7694.62
86.3783,-38.1827,8.41425,-7695.31
86.4287,-38.2009,8.40069,-7695.93
86.4797,-38.2191,8.3878,-7696.41
86.5309,-38.2364,8.37516,-7697.68
86.582,-38.2543,8.36071,-7699.74
86.6329,-38.2742,8.34661,-7702.42
86.684,-38.2948,8.33223,-7703.91
86.7354,-38.3147,8.3175,-7704.39
86.7868,-38.3341,8.30227,-7703.28
86.8376,-38.3521,8.28585,-7702.76
86.8876,-38.3707,8.2697,-7703.81
86.9366,-38.3896,8.25176,-7706.06
86.9847,-38.4088,8.23308,-7708.28
87.0322,-38.4288,8.21325,-7707.99
87.0791,-38.4497,8.19212,-7709.51
87.1255,-38.4699,8.16965,-7711.42
87.1715,-38.4906,8.14579,-7713.05
87.2171,-38.5092,8.12159,-7713.61
87.262,-38.5261,8.09754,-7713.23
87.306,-38.5389,8.07254,-7713.11
87.3482,-38.5513,8.0478,-7713.95
87.3888,-38.5647,8.02219,-7716.81
87.4278,-38.5807,7.99663,-7720.93
87.4656,-38.5961,7.96976,-7722.64
87.5023,-38.6111,7.94248,-7721.57
87.5375,-38.6224,7.91494,-7719.6
87.5706,-38.6301,7.88672,-7718.78
87.6012,-38.6349,7.85852,-7721.03
87.6296,-38.64,7.83094,-7724.12
87.6561,-38.6462,7.80228,-7728.16
87.6811,-38.656,7.77455,-7732.24
87.7051,-38.6666,7.74646,-7736.2
87.7284,-38.6767,7.7192,-7739.46
87.7515,-38.6851,7.69254,-7740.52
87.7741,-38.6898,7.66693,-7740.46
87.7961,-38.6904,7.64179,-7742.27
87.8173,-38.6896,7.61748,-7745.85
87.8379,-38.6882,7.59405,-7750.89
87.858,-38.6873,7.57137,-7756.28
87.8781,-38.6871,7.5489,-7761.29
87.8981,-38.6867,7.52765,-7765.99
87.918,-38.6844,7.50638,-7770.31
87.9374,-38.6814,7.48594,-7776.3
87.9563,-38.6775,7.46587,-7781.41
87.9746,-38.6735,7.44643,-7787.08
87.9922,-38.6697,7.42706,-7792.67
88.0092,-38.6661,7.41277,-7797.05
88.0256,-38.6622,7.39877,-7801.28
88.0411,-38.6585,7.38558,-7805.1
88.0559,-38.6531,7.37185,-7807.35
88.0697,-38.6463,7.35823,-7810.08
88.0824,-38.6372,7.34425,-7811.95
88.0935,-38.6276,7.33042,-7814.43
88.1032,-38.617,7.31695,-7818.03
88.1113,-38.6057,7.30333,-7822.95
88.1179,-38.5946,7.2895,-7826.25
88.1229,-38.5854,7.27659,-7830.76
88.1266,-38.5775,7.26308,-7835.84
88.129,-38.5707,7.2498,-7840.74
88.1306,-38.5642,7.23665,-7843.93
88.1315,-38.5582,7.22367,-7847.68
88.1319,-38.5505,7.21053,-7849.69
88.132,-38.5435,7.19732,-7852.03
88.1316,-38.5378,7.18307,-7854.23
88.1311,-38.5321,7.16877,-7857.47
88.1306,-38.5254,7.15349,-7859.42
88.1302,-38.5176,7.13816,-7860.17
88.1295,-38.5086,7.12241,-7862.04
88.1283,-38.4992,7.10578,-7866.03
88.1268,-38.4909,7.0894,-7871.13
88.1252,-38.4823,7.07345,-7875.72
88.1237,-38.475,7.05836,-7879.98
88.1224,-38.4681,7.0447,-7884.51
88.1212,-38.4613,7.03223,-7889.17
88.1204,-38.4537,7.02129,-7894.23
88.12,-38.4459,7.01217,-7897.51
88.1203,-38.4365,7.00412,-7900.41
88.1209,-38.4261,6.99718,-7903.51
88.122,-38.4135,6.99119,-7905.98
88.1232,-38.4002,6.98537,-7908.36
88.1248,-38.3861,6.9807,-7911.49
88.1266,-38.3713,6.97581,-7914.05
88.1287,-38.3551,6.97082,-7916.03
88.1307,-38.3372,6.96617,-7917.35
88.1324,-38.3172,6.9607,-7919.07
88.1335,-38.2969,6.9552,-7922.3
88.134,-38.2768,6.94955,-7925.49
88.1339,-38.2571,6.94271,-7929.67
88.1336,-38.2387,6.93549,-7932.43
88.133,-38.2206,6.9273,-7933.74
88.132,-38.2025,6.91878,-7935.78
88.1307,-38.1832,6.90995,-7936.56
88.129,-38.1622,6.90047,-7936.51
88.1267,-38.1419,6.89149,-7936.76
88.124,-38.1213,6.88198,-7937.7
88.1207,-38.1008,6.87302,-7938.45
88.117,-38.0811,6.86457,-7938.42
88.1129,-38.0616,6.85636,-7938.79
88.1084,-38.042,6.8489,-7938.14
88.1035,-38.0205,6.84195,-7937.28
88.098,-37.9973,6.83625,-7936.51
88.0916,-37.9719,6.83075,-7934.93
88.0843,-37.9465,6.82563,-7936.03
88.076,-37.921,6.82119,-7937.48
88.067,-37.8961,6.8166,-7939.05
88.0574,-37.8731,6.8124,-7939.91
88.0475,-37.8498,6.80752,-7939.46
88.037,-37.8246,6.80242,-7938.97
88.0257,-37.7972,6.79697,-7937.04
88.0134,-37.7671,6.79138,-7935.39
87.9996,-37.7376,6.78501,-7935.35
87.9842,-37.7081,6.77732,-7935.03
87.967,-37.6787,6.76913,-7935.87
87.9479,-37.6516,6.76042,-7935.96
87.9269,-37.626,6.75091,-7937
87.9041,-37.6029,6.74204,-7938.39
87.8798,-37.5804,6.73312,-7939.4
87.8541,-37.5583,6.72525,-7938.03
87.8272,-37.5361,6.71748,-7936.36
87.799,-37.5135,6.71128,-7935.83
87.77,-37.4892,6.70648,-7935.23
87.7403,-37.4643,6.70322,-7933.74
87.7104,-37.4393,6.73113,-7931.93
87.6805,-37.4179,6.76429,-7930.98
87.651,-37.3964,6.80308,-7929.74
87.6222,-37.3751,6.84405,-7926.89
87.5942,-37.3521,6.88472,-7923.89
87.5668,-37.328,6.92215,-7920.71
87.5398,-37.3033,6.95893,-7922.33
87.5132,-37.2762,6.99089,-7919.43
87.4868,-37.2461,7.02026,-7917.56
87.4606,-37.2117,7.04545,-7914.14
87.434,-37.1753,7.06786,-7913.23
87.4067,-37.1358,7.08559,-7912.89
87.379,-37.0949,7.10008,-7912.92
87.351,-37.0527,7.11106,-7910.99
87.3226,-37.0109,7.11925,-7908.72
87.294,-36.9699,7.12509,-7907.71
87.2649,-36.9294,7.1294,-7906.34
87.235,-36.8901,7.13092,-7903.14
87.2039,-36.8513,7.13212,-7901.17
87.171,-36.8117,7.132,-7897.45
87.1356,-36.772,7.13148,-7894.78
87.0978,-36.7336,7.13045,-7892.98
87.0575,-36.6949,7.12775,-7890.49
87.0149,-36.659,7.12688,-7888.72
86.9706,-36.623,7.12467,-7886.75
86.925,-36.5871,7.12236,-7883.69
86.8782,-36.5516,7.12018,-7880.73
86.8307,-36.5152,7.11695,-7878.56
86.783,-36.4781,7.11413,-7877.07
86.7355,-36.4396,7.11064,-7874.78
86.6886,-36.4014,7.10653,-7872.84
86.6426,-36.3639,7.102,-7872.6
86.5979,-36.327,7.09661,-7871.92
86.5547,-36.29,7.09023,-7870.75
86.5131,-36.2543,7.08443,-7868.32
86.4729,-36.2179,7.07737,-7865.38
86.4338,-36.1797,7.06917,-7861.76
86.3955,-36.1418,7.06082,-7858.4
86.3572,-36.1029,7.05082,-7853.55
86.3187,-36.0642,7.03991,-7850.37
86.2795,-36.026,7.0291,-7846.85
86.2393,-35.9873,7.01688,-7844.09
86.1982,-35.9514,7.00527,-7841.78
86.1564,-35.9167,6.99339,-7839.11
86.1141,-35.8819,6.98255,-7836.17
86.0712,-35.8456,6.97187,-7832.91
86.0277,-35.8091,6.96156,-7829.29
85.9835,-35.7737,6.95189,-7828.16
85.939,-35.7385,6.94268,-7828.57
85.8947,-35.7042,6.93438,-7828.02
85.8508,-35.6704,6.92539,-7825.69
85.8075,-35.637,6.91659,-7824.93
85.7647,-35.602,6.90731,-7823.88
85.7223,-35.5674,6.89699,-7823.44
85.6805,-35.5329,6.88511,-7822.21
85.6393,-35.4984,6.87188,-7821.56
85.5986,-35.4632,6.85682,-7819.82
85.5581,-35.4276,6.84005,-7818.15
85.518,-35.3927,6.82078,-7817.16
85.4797,-35.356,6.7999,-7815.78
85.4392,-35.319,6.77701,-7815.05
85.3932,-35.282,6.75307,-7813.7
85.3407,-35.2449,6.72841,-7813.48
85.2825,-35.2088,6.70357,-7813.7
85.2205,-35.1743,6.6789,-7814.28
85.1568,-35.1411,6.65537,-7814.07
85.0936,-35.1062,6.632,-7813.76
85.0319,-35.0709,6.61141,-7812.53
84.9724,-35.035,6.59161,-7811.92
84.9155,-34.9979,6.57438,-7813.39
84.8615,-34.9621,6.55918,-7814.79
84.8102,-34.9252,6.54547,-7814.87
84.7615,-34.8916,6.53485,-7816.26
84.715,-34.8573,6.52514,-7817.66
84.6703,-34.8232,6.51735,-7820.18
84.6271,-34.7894,6.50984,-7818.79
84.5919,-34.7566,6.50412,-7820.85
84.557,-34.7228,6.49912,-7820.44
84.5221,-34.6884,6.49424,-7822.51
84.4869,-34.6567,6.48851,-7822.15
84.4515,-34.6247,6.48445,-7824.02
84.4159,-34.5951,6.47874,-7823.74
84.3802,-34.5635,6.47401,-7823.82
84.3443,-34.5341,6.46799,-7822.01
84.3081,-34.5011,6.46276,-7820.62
84.2714,-34.4706,6.45743,-7819.92
84.2345,-34.4373,6.45078,-7818.65
84.1974,-34.4061,6.44526,-7818.49
84.1604,-34.3767,6.43861,-7816.76
84.1237,-34.3449,6.43223,-7816.36
84.0871,-34.3164,6.42739,-7813.26
84.051,-34.2844,6.42115,-7811.85
84.0149,-34.2538,6.4171,-7809.28
83.9789,-34.222,6.41177,-7805.94
83.9428,-34.1913,6.38998,-7806.17
83.9067,-34.1565,6.35243,-7803.61
83.8705,-34.1233,6.32288,-7802.72
83.8345,-34.0899,6.28808,-7802.93
83.7988,-34.0558,6.25521,-7799.96
83.7634,-34.0221,6.22468,-7799.24
83.7283,-33.9874,6.19236,-7794.18
83.6937,-33.9522,6.16476,-7792.19
83.6591,-33.9161,6.1366,-7788.64
83.6243,-33.8787,6.11012,-7784.85
83.5891,-33.842,6.08532,-7781.65
83.5534,-33.8084,6.06115,-7779.46
83.517,-33.776,6.03865,-7779.54
83.4802,-33.7454,6.01721,-7777.91
83.4432,-33.7147,5.99674,-7774.54
83.4055,-33.6834,5.97738,-7771.52
83.3671,-33.6514,5.95857,-7769.07
83.3281,-33.6191,5.94128,-7768.17
83.2888,-33.5865,5.92448,-7766.17
83.2496,-33.5531,5.90753,-7763.32
83.211,-33.5177,5.89142,-7759.09
83.1729,-33.4801,5.87551,-7756.4
83.135,-33.4403,5.85972,-7753.7
83.0973,-33.4003,5.84406,-7751.63
83.0598,-33.3742,5.82809,-7749.71
83.0223,-33.3465,5.81192,-7746.89
82.9843,-33.319,5.7954,-7743.21
82.9455,-33.2911,5.77914,-7740.96
82.9057,-33.2617,5.76196,-7738.96
82.8648,-33.2318,5.74434,-7736.52
82.8229,-33.1995,5.7254,-7732.54
82.7796,-33.1649,5.70601,-7728.52
82.7347,-33.1288,5.68576,-7724.12
82.6879,-33.0917,5.66422,-7722.05
82.6394,-33.0529,5.64125,-7720.97
82.5895,-33.0121,5.64035,-7718.71
82.5382,-32.9719,5.71758,-7714.81
82.4858,-32.9326,5.75809,-7712.2
82.4325,-32.8926,5.77928,-7711.15
82.3787,-32.8498,5.85545,-7707.32
82.3251,-32.8044,5.95807,-7701.52
82.2714,-32.7557,6.00871,-7694.91
82.2174,-32.7015,6.02226,-7689.37
82.1627,-32.644,5.97854,-7684.39
82.1072,-32.5863,5.91054,-7681.64
82.0511,-32.5298,5.94026,-7680.94
81.9948,-32.4738,5.97053,-7680.35
81.9388,-32.4171,5.94656,-7676.5
81.8828,-32.3608,5.87394,-7670.45
81.8263,-32.3036,5.76468,-7664.72
81.7689,-32.2414,5.63948,-7659.52
81.7105,-32.1748,5.60366,-7653.28
81.6508,-32.1044,5.56757,-7644.37
81.5892,-32.0325,5.57038,-7636.95
81.5246,-31.9578,5.54155,-7630.6
81.4569,-31.8834,5.48473,-7626.71
81.3861,-31.8097,5.39907,-7624.2
81.3128,-31.7356,5.34476,-7621.15
81.2375,-31.6609,5.36265,-7615.85
81.1599,-31.587,5.40799,-7608.28
81.0802,-31.512,5.48795,-7601.64
80.9981,-31.4316,5.55575,-7594.74
80.914,-31.346,5.61248,-7586.04
80.8277,-31.2557,5.66053,-7575.88
80.7388,-31.1613,5.69854,-7567.1
80.6468,-31.0641,5.73429,-7560.97
80.5518,-30.9677,5.75773,-7558
80.4545,-30.8727,5.80192,-7556.63
80.3555,-30.7793,5.83612,-7553.72
80.2554,-30.6877,5.85996,-7548.31
80.1537,-30.5969,5.8739,-7541.2
80.0501,-30.5037,5.8779,-7535.42
79.9447,-30.4074,5.87325,-7528.99
79.8377,-30.3075,5.86301,-7520.21
79.7289,-30.2057,5.83645,-7513.16
79.6179,-30.1014,5.81157,-7505.71
79.5046,-29.9976,5.77877,-7500.28
79.3888,-29.8948,5.74206,-7496.83
79.2706,-29.7913,5.70837,-7491.23
79.1497,-29.6918,5.66976,-7485.56
79.0265,-29.5937,5.62415,-7479.06
78.9012,-29.4976,5.58033,-7474.94
78.7828,-29.4016,5.53825,-7468.35
78.6803,-29.3048,5.50426,-7461.14
78.5764,-29.2058,5.47401,-7450.96
78.4713,-29.1038,5.44328,-7440.01
78.3647,-28.9975,5.41412,-7432.46
78.2568,-28.8908,5.38639,-7426.42
78.1474,-28.7855,5.36265,-7421.51
78.0371,-28.6822,5.34317,-7419.78
77.9259,-28.5792,5.32858,-7415.62
77.8141,-28.4774,5.44252,-7409.55
77.7016,-28.3801,5.53699,-7403.53
77.5882,-28.2841,5.5934,-7399.17
77.4739,-28.188,5.61402,-7394.98
77.3587,-28.0942,5.71204,-7388.63
77.2526,-28.0038,5.77909,-7382.27
77.1544,-27.9149,5.80714,-7376.83
77.0556,-27.8279,5.80286,-7372.39
76.9559,-27.7429,5.77289,-7366.15
76.8549,-27.6598,5.80968,-7361.88
76.7527,-27.5786,5.83706,-7357.04
76.6492,-27.5028,5.84166,-7353.39
76.5446,-27.4321,5.97496,-7351.37
76.4393,-27.3673,6.15393,-7348.64
76.3334,-27.3055,6.35217,-7344.99
76.2275,-27.2466,6.56392,-7337.58
76.1218,-27.1905,6.7836,-7330.99
76.0164,-27.1336,7.00233,-7324.83
75.9117,-27.0779,7.25685,-7320.7
75.808,-27.0278,7.51692,-7316.36
75.7056,-26.9852,7.74737,-7315.48
75.6053,-26.9475,7.95374,-7315.86
75.5074,-26.9121,8.21686,-7312.1
75.4122,-26.8781,8.42284,-7306.74
75.3198,-26.8436,8.58269,-7302.4
75.2303,-26.8114,8.79904,-7300.81
75.1437,-26.7816,8.92,-7300.56
75.0602,-26.7625,9.00217,-7302.3
74.9803,-26.7488,9.10561,-7303.48
74.9044,-26.7373,9.08657,-7302.05
74.8322,-26.7241,9.05974,-7292.56
74.7633,-26.7075,8.98826,-7283.15
74.697,-26.6889,8.77998,-7280.53
74.6327,-26.6722,8.66159,-7280.6
74.5706,-26.6613,8.39669,-7285.61
74.511,-26.6577,8.09987,-7288.69
74.4543,-26.6562,7.78969,-7288.01
74.4003,-26.6572,7.65043,-7281.02
74.3486,-26.6587,7.78036,-7275.77
74.2988,-26.6584,7.94355,-7272.35
74.2507,-26.6554,8.10923,-7270.83
74.2041,-26.6546,8.24967,-7268.53
74.1594,-26.6593,8.35797,-7267.28
74.1166,-26.6686,8.44185,-7264.53
74.0758,-26.6797,8.52914,-7263.08
74.0372,-26.6906,8.6025,-7259.67
74.001,-26.7033,8.63967,-7253.87
73.9672,-26.7151,8.63171,-7249.49
73.9359,-26.7283,8.58951,-7246.56
73.9073,-26.7444,8.55468,-7243.94
73.8819,-26.7642,8.46869,-7244.06
73.8604,-26.7842,8.33534,-7241.96
73.8433,-26.8032,8.15779,-7236.81
73.8307,-26.8263,7.97443,-7231.67
73.8223,-26.852,7.75311,-7231.32
73.8184,-26.8776,7.49202,-7232.57
73.8188,-26.9024,7.20133,-7231.02
73.8239,-26.9275,6.88444,-7226.56
73.8334,-26.954,6.55414,-7222.45
73.8469,-26.9803,6.20388,-7220.91
73.8643,-27.007,5.83975,-7220.85
73.8853,-27.036,5.50619,-7221.92
73.9095,-27.0692,5.18671,-7220.56
73.9367,-27.1059,4.89348,-7216.91
73.9662,-27.1429,4.87096,-7212.02
73.9973,-27.1759,4.95337,-7205.28
74.0292,-27.2058,5.03362,-7197.6
74.0703,-27.2342,5.10931,-7192.47
74.113,-27.2625,5.18148,-7187.67
74.155,-27.2914,5.29048,-7184.72
74.1958,-27.322,5.3941,-7183.56
74.2352,-27.3554,5.4924,-7182.3
74.2732,-27.3895,5.58469,-7180.28
74.3095,-27.4256,5.66951,-7177.46
74.3439,-27.4632,5.74808,-7173.21
74.3766,-27.5009,5.81942,-7173.14
74.4079,-27.5372,5.88458,-7171.31
74.4379,-27.571,5.96944,-7165.97
74.4669,-27.6054,6.0583,-7160.09
74.4952,-27.6406,6.13917,-7156.25
74.5233,-27.6759,6.21056,-7154.06
74.5516,-27.709,6.27335,-7152.47
74.5806,-27.7407,6.32658,-7145.81
74.6103,-27.7722,6.37083,-7138.78
74.6408,-27.8032,6.40676,-7134.08
74.6718,-27.8323,6.45115,-7128.35
74.7035,-27.864,6.49881,-7124.91
74.7364,-27.8976,6.5371,-7124.06
74.7704,-27.9316,6.56552,-7121.47
74.8047,-27.9705,6.58751,-7118.23
74.8383,-28.0138,6.60459,-7113.89
74.8709,-28.0627,6.61788,-7112.99
74.9022,-28.117,6.62576,-7110.83
74.9324,-28.1756,6.62952,-7109.03
74.9617,-28.2373,6.62664,-7102.35
74.99,-28.2997,6.61931,-7090.53
75.0172,-28.3584,6.60481,-7080.99
75.0427,-28.415,6.59977,-7072.71
75.0666,-28.4719,6.59171,-7069.78
75.089,-28.5314,6.57839,-7067.24
75.1101,-28.5972,6.55823,-7066.43
75.1305,-28.6691,6.53408,-7066.83
75.1505,-28.7455,6.50433,-7067.31
75.1707,-28.8259,6.46758,-7064.19
75.1914,-28.9064,6.42318,-7061.27
75.2127,-28.987,6.37191,-7056.05
75.2348,-29.0652,6.31258,-7050.24
75.2578,-29.1414,6.2485,-7045.39
75.2817,-29.2153,6.18272,-7040.74
75.3066,-29.2896,6.13697,-7036.99
75.3326,-29.3642,6.08365,-7035.88
75.3802,-29.4397,6.02443,-7034.14
75.4327,-29.5155,5.95772,-7032.94
75.4864,-29.5938,5.88529,-7031.38
75.5409,-29.6721,5.85991,-7029.92
75.597,-29.7477,5.91166,-7026.51
